								
								
Up=40%								
Grup tasques 0	T_i	C_i		Phi_i		U_p(i)		
Py_40	55,0000	6,4033		16,2800		0,1164		
Py_41	62,4324	8,3258		6,4600		0,1334		
Py_42	79,6552	7,7506		12,1400		0,0973		
Py_43	85,5556	4,6953		31,3100		0,0549		
Py_44	121,5789	1,6636		41,9500		0,0137		
Py_45	128,3333	0,8609		80,3000		0,0067		
Py_46	135,8824	14,3088		130,0800		0,1053		
Py_47	154,0000	3,1440		98,9500		0,0204		
Py_48	256,6667	1,9925		34,1000		0,0078		
Py_49	462,0000	20,4172		42,7400		0,0442		
								
Grup tasques 5	T_i	C_i		Phi_i		U_p		
Py_50	55,0000	1,9909		2,6900		0,0362		
Py_51	66,0000	0,8278		50,2700		0,0125		
Py_52	72,1875	9,2960		23,0800		0,1288		
Py_53	110,0000	10,0381		75,2100		0,0913		
Py_54	128,3333	8,8606		103,4200		0,0690		
Py_55	135,8824	4,8262		132,6800		0,0355		
Py_56	177,6923	1,1100		150,0100		0,0062		
Py_57	231,0000	15,5022		50,5500		0,0671		
Py_58	385,0000	31,7012		16,1500		0,0823		
Py_59	770,0000	54,6837		292,9300		0,0710		
								
Grup tasques 6	T_i	C_i		Phi_i		U_p		
Py_60	55,0000	5,6073		15,4800		0,1020		
Py_61	59,2308	3,2184		44,7900		0,0543		
Py_62	72,1875	0,1266		22,1300		0,0018		
Py_63	77,0000	6,0462		2,7900		0,0785		
Py_64	105,0000	5,9660		48,0400		0,0568		
Py_65	110,0000	8,7049		2,9700		0,0791		
Py_66	121,5789	7,7862		73,6000		0,0640		
Py_67	144,3750	10,2625		127,1000		0,0711		
Py_68	154,0000	2,3476		149,6300		0,0152		
Px_69	288,7500	22,2764		27,0800		0,0771		
								
Grup tasques 7	T_i	C_i		Phi_i		U_p		
Py_70	55,0000	4,3091		52,1500		0,0783		
Py_71	59,2308	4,5786		24,4600		0,0773		
Py_72	67,9412	1,2730		38,3000		0,0187		
Py_73	96,2500	9,0719		67,2600		0,0943		
Py_74	100,4348	7,9676		37,5200		0,0793		
Py_75	154,0000	0,9586		125,7200		0,0062		
Py_76	165,0000	4,5551		58,1400		0,0276		
Py_77	256,6667	6,0378		249,2200		0,0235		
Py_78	385,0000	31,2123		215,9600		0,0811		
Py_79	2310,0000	262,4240		318,6900		0,1136		
								
Grup tasques 8	T_i	C_i		Phi_i		U_p		
Py_80	55,0000	3,9680		39,9200		0,0721		
Py_81	67,9412	2,3374		14,6200		0,0344		
Py_82	115,5000	3,3484		7,3500		0,0290		
Py_83	165,0000	11,7859		155,2600		0,0714		
Py_84	177,6923	5,6216		177,4300		0,0316		
Py_85	192,5000	7,6832		70,1000		0,0399		
Py_86	288,7500	31,9312		99,6100		0,1106		
Py_87	330,0000	29,6976		322,2700		0,0900		
Py_88	462,0000	27,8126		162,4000		0,0602		
Py_89	770,0000	46,7613		229,0800		0,0607		
								
Grup tasques9	T_i	C_i		Phi_i		U_p		
Py_90	55,0000	3,5346		34,0000		0,0643		
Py_91	67,9412	5,0848		1,7700		0,0748		
Py_92	70,0000	4,6579		52,6200		0,0665		
Py_93	85,5556	4,8562		2,2800		0,0568		
Py_94	135,8824	6,1427		80,9700		0,0452		
Py_95	165,0000	7,7078		132,5300		0,0467		
Py_96	330,0000	5,6429		67,4600		0,0171		
Py_97	462,0000	51,5940		322,3000		0,1117		
Py_98	770,0000	62,0134		338,5200		0,0805		
Py_99	1155,0000	42,0321		725,3900		0,0364		
								
Servers	T_s	C_s						
DS	55	3,698539442						
SS	55	6,421565785						
PE	55	5,367342543						
PS	55	5,367342543						
